Task B3: These are all the Countries from least to highest temperature of the given range -10.0-23.43
Temperature, Year, Month, Country, Country_Code
-8.68(C) 16.38(F), 2001, Mar, Finland, FIN 
-8.67(C) 16.39(F), 2005, Mar, Finland, FIN 
-8.67(C) 16.4(F), 2013, Jan, Tajikistan, TJK 
-8.65(C) 16.43(F), 2012, Feb, Estonia, EST 
-8.65(C) 16.43(F), 2001, Feb, Kyrgyzstan, KGZ 
-8.65(C) 16.44(F), 2006, Jan, Finland, FIN 
-8.64(C) 16.45(F), 2006, Apr, Russia, RUS 
-8.63(C) 16.46(F), 2012, Feb, Latvia, LVA 
-8.63(C) 16.47(F), 2006, Jan, Belarus, BLR 
-8.63(C) 16.47(F), 2011, Feb, Latvia, LVA 
-8.6(C) 16.52(F), 2012, Feb, Lithuania, LTU 
-8.59(C) 16.54(F), 2004, Dec, Kazakhstan, KAZ 
-8.58(C) 16.55(F), 2009, Dec, Kyrgyzstan, KGZ 
-8.58(C) 16.56(F), 2006, Feb, Sweden, SWE 
-8.57(C) 16.58(F), 2002, Dec, Armenia, ARM 
-8.54(C) 16.64(F), 2010, Feb, Korea. Democratic People's Republic of, PRK 
-8.5(C) 16.69(F), 2013, Feb, Kazakhstan, KAZ 
-8.49(C) 16.71(F), 2006, Mar, Sweden, SWE 
-8.49(C) 16.71(F), 2004, Dec, Kyrgyzstan, KGZ 
-8.47(C) 16.75(F), 2013, Jan, China, CHN 
-8.46(C) 16.76(F), 2002, Dec, Georgia, GEO 
-8.45(C) 16.8(F), 2005, Jan, Tajikistan, TJK 
-8.41(C) 16.87(F), 2016, Jan, China, CHN 
-8.37(C) 16.94(F), 2012, Jan, Sweden, SWE 
-8.36(C) 16.96(F), 2006, Mar, Norway, NOR 
-8.35(C) 16.97(F), 2012, Feb, Liechtenstein, LIE 
-8.35(C) 16.97(F), 2013, Jan, Norway, NOR 
-8.33(C) 17.01(F), 2006, Feb, Estonia, EST 
-8.33(C) 17.01(F), 2012, Apr, Canada, CAN 
-8.31(C) 17.05(F), 2006, Jan, Uzbekistan, UZB 
-8.3(C) 17.06(F), 2004, Dec, Korea. Democratic People's Republic of, PRK 
-8.3(C) 17.06(F), 2006, Jan, Georgia, GEO 
-8.27(C) 17.11(F), 2015, Dec, Kyrgyzstan, KGZ 
-8.25(C) 17.15(F), 2008, Feb, Korea. Democratic People's Republic of, PRK 
-8.25(C) 17.16(F), 2006, Dec, Tajikistan, TJK 
-8.2(C) 17.23(F), 2001, Nov, Mongolia, MNG 
-8.2(C) 17.23(F), 2006, Feb, Korea. Democratic People's Republic of, PRK 
-8.19(C) 17.26(F), 2012, Dec, Tajikistan, TJK 
-8.18(C) 17.28(F), 2001, Jan, China, CHN 
-8.16(C) 17.31(F), 2002, Dec, Estonia, EST 
-8.16(C) 17.31(F), 2006, Jan, Armenia, ARM 
-8.15(C) 17.33(F), 2002, Jan, Sweden, SWE 
-8.15(C) 17.34(F), 2007, Jan, Tajikistan, TJK 
-8.14(C) 17.35(F), 2004, Mar, Mongolia, MNG 
-8.14(C) 17.35(F), 2005, Mar, Mongolia, MNG 
-8.14(C) 17.35(F), 2000, Dec, Kyrgyzstan, KGZ 
-8.14(C) 17.35(F), 2002, Dec, Latvia, LVA 
-8.13(C) 17.37(F), 2006, Jan, Ukraine, UKR 
-8.12(C) 17.38(F), 2005, Dec, Finland, FIN 
-8.09(C) 17.43(F), 2000, Jan, Finland, FIN 
-8.09(C) 17.45(F), 2010, Dec, Estonia, EST 
-8.08(C) 17.46(F), 2001, Mar, Mongolia, MNG 
-8.08(C) 17.46(F), 2003, Jan, Estonia, EST 
-8.08(C) 17.46(F), 2008, Dec, Kazakhstan, KAZ 
-8.07(C) 17.47(F), 2011, Jan, Norway, NOR 
-8.04(C) 17.52(F), 2012, Feb, Norway, NOR 
-8.04(C) 17.53(F), 2014, Nov, Mongolia, MNG 
-8.04(C) 17.54(F), 2013, Mar, Norway, NOR 
-8.02(C) 17.56(F), 2008, Dec, Kyrgyzstan, KGZ 
-8.0(C) 17.61(F), 2001, Dec, Belarus, BLR 
-7.96(C) 17.67(F), 2013, Dec, Armenia, ARM 
-7.95(C) 17.69(F), 2005, Jan, China, CHN 
-7.94(C) 17.7(F), 2012, Feb, Armenia, ARM 
-7.94(C) 17.7(F), 2003, Dec, Korea. Democratic People's Republic of, PRK 
-7.93(C) 17.72(F), 2013, Mar, Sweden, SWE 
-7.92(C) 17.74(F), 2006, Feb, Belarus, BLR 
-7.92(C) 17.74(F), 2007, Nov, Mongolia, MNG 
-7.91(C) 17.76(F), 2002, Dec, Lithuania, LTU 
-7.91(C) 17.77(F), 2010, Feb, Estonia, EST 
-7.9(C) 17.77(F), 2002, Nov, Finland, FIN 
-7.9(C) 17.78(F), 2000, Jan, Tajikistan, TJK 
-7.89(C) 17.79(F), 2016, Dec, Kyrgyzstan, KGZ 
-7.89(C) 17.8(F), 2006, Feb, Kazakhstan, KAZ 
-7.88(C) 17.81(F), 2014, Jan, Tajikistan, TJK 
-7.88(C) 17.82(F), 2015, Feb, Kazakhstan, KAZ 
-7.88(C) 17.82(F), 2009, Jan, Tajikistan, TJK 
-7.86(C) 17.86(F), 2014, Feb, Korea. Democratic People's Republic of, PRK 
-7.85(C) 17.88(F), 2007, Apr, Canada, CAN 
-7.84(C) 17.89(F), 2011, Feb, Belarus, BLR 
-7.84(C) 17.89(F), 2006, Jan, Sweden, SWE 
-7.83(C) 17.9(F), 2000, Feb, Tajikistan, TJK 
-7.83(C) 17.91(F), 2016, Dec, Kazakhstan, KAZ 
-7.82(C) 17.93(F), 2002, Feb, Kyrgyzstan, KGZ 
-7.8(C) 17.95(F), 2009, Jan, Armenia, ARM 
-7.8(C) 17.96(F), 2002, Dec, Ukraine, UKR 
-7.8(C) 17.97(F), 2005, Nov, Mongolia, MNG 
-7.78(C) 17.99(F), 2003, Feb, Finland, FIN 
-7.74(C) 18.06(F), 2007, Feb, Latvia, LVA 
-7.74(C) 18.06(F), 2010, Feb, Tajikistan, TJK 
-7.74(C) 18.06(F), 2006, Feb, Norway, NOR 
-7.66(C) 18.21(F), 2013, Feb, Norway, NOR 
-7.65(C) 18.22(F), 2016, Feb, Korea. Democratic People's Republic of, PRK 
-7.65(C) 18.23(F), 2014, Dec, Kazakhstan, KAZ 
-7.65(C) 18.23(F), 2015, Jan, Tajikistan, TJK 
-7.63(C) 18.27(F), 2015, Jan, Sweden, SWE 
-7.62(C) 18.28(F), 2001, Mar, Norway, NOR 
-7.61(C) 18.31(F), 2009, Dec, Norway, NOR 
-7.59(C) 18.34(F), 2012, Feb, Moldova, MDA 
-7.58(C) 18.35(F), 2002, Jan, Tajikistan, TJK 
-7.57(C) 18.37(F), 2012, Jan, Norway, NOR 
-7.56(C) 18.4(F), 2008, Dec, Korea. Democratic People's Republic of, PRK 
-7.54(C) 18.43(F), 2010, Dec, Kazakhstan, KAZ 
-7.54(C) 18.44(F), 2011, Feb, Tajikistan, TJK 
-7.53(C) 18.44(F), 2006, Dec, Korea. Democratic People's Republic of, PRK 
-7.5(C) 18.5(F), 2013, Feb, Sweden, SWE 
-7.5(C) 18.5(F), 2009, Feb, Kyrgyzstan, KGZ 
-7.5(C) 18.5(F), 2008, Feb, Georgia, GEO 
-7.5(C) 18.51(F), 2016, Feb, Kyrgyzstan, KGZ 
-7.49(C) 18.52(F), 2003, Jan, China, CHN 
-7.48(C) 18.53(F), 2005, Jan, Armenia, ARM 
-7.48(C) 18.53(F), 2016, Jan, Latvia, LVA 
-7.48(C) 18.54(F), 2010, Dec, Latvia, LVA 
-7.47(C) 18.55(F), 2000, Feb, Finland, FIN 
-7.47(C) 18.56(F), 2002, Jan, Georgia, GEO 
-7.45(C) 18.58(F), 2011, Feb, Lithuania, LTU 
-7.45(C) 18.6(F), 2002, Jan, Norway, NOR 
-7.44(C) 18.62(F), 2004, Jan, China, CHN 
-7.43(C) 18.62(F), 2008, Feb, Armenia, ARM 
-7.42(C) 18.64(F), 2007, Jan, Sweden, SWE 
-7.41(C) 18.65(F), 2007, Feb, Kazakhstan, KAZ 
-7.41(C) 18.66(F), 2012, Dec, China, CHN 
-7.37(C) 18.73(F), 2006, Jan, China, CHN 
-7.36(C) 18.75(F), 2009, Jan, Sweden, SWE 
-7.36(C) 18.75(F), 2005, Feb, Sweden, SWE 
-7.36(C) 18.75(F), 2014, Dec, Tajikistan, TJK 
-7.35(C) 18.77(F), 2002, Jan, Armenia, ARM 
-7.34(C) 18.79(F), 2016, Jan, Belarus, BLR 
-7.32(C) 18.83(F), 2010, Jan, Ukraine, UKR 
-7.3(C) 18.86(F), 2006, Feb, Latvia, LVA 
-7.3(C) 18.86(F), 2004, Feb, Norway, NOR 
-7.28(C) 18.9(F), 2008, Jan, Turkmenistan, TKM 
-7.28(C) 18.9(F), 2001, Dec, Norway, NOR 
-7.28(C) 18.9(F), 2009, Jan, China, CHN 
-7.27(C) 18.91(F), 2005, Dec, China, CHN 
-7.27(C) 18.91(F), 2010, Nov, Mongolia, MNG 
-7.24(C) 18.97(F), 2015, Jan, Norway, NOR 
-7.23(C) 18.99(F), 2014, Jan, Estonia, EST 
-7.23(C) 18.99(F), 2005, Feb, Liechtenstein, LIE 
-7.22(C) 19.0(F), 2006, Jan, Lithuania, LTU 
-7.21(C) 19.01(F), 2010, Nov, Sweden, SWE 
-7.21(C) 19.02(F), 2010, Nov, Norway, NOR 
-7.21(C) 19.03(F), 2015, Feb, Kyrgyzstan, KGZ 
-7.21(C) 19.03(F), 2013, Nov, Mongolia, MNG 
-7.16(C) 19.11(F), 2004, Feb, Sweden, SWE 
-7.16(C) 19.12(F), 2010, Jan, China, CHN 
-7.14(C) 19.15(F), 2013, Dec, Georgia, GEO 
-7.12(C) 19.18(F), 2007, Jan, Norway, NOR 
-7.12(C) 19.18(F), 2016, Dec, Korea. Democratic People's Republic of, PRK 
-7.11(C) 19.2(F), 2005, Dec, Sweden, SWE 
-7.09(C) 19.24(F), 2006, Nov, Mongolia, MNG 
-7.07(C) 19.27(F), 2004, Apr, Russia, RUS 
-7.07(C) 19.27(F), 2009, Jan, Georgia, GEO 
-7.07(C) 19.28(F), 2005, Feb, Norway, NOR 
-7.07(C) 19.28(F), 2003, Feb, Ukraine, UKR 
-7.06(C) 19.29(F), 2003, Feb, Belarus, BLR 
-7.06(C) 19.29(F), 2003, Feb, Sweden, SWE 
-7.05(C) 19.31(F), 2011, Feb, Korea. Democratic People's Republic of, PRK 
-7.04(C) 19.33(F), 2007, Dec, Tajikistan, TJK 
-7.02(C) 19.36(F), 2005, Dec, Kazakhstan, KAZ 
-7.02(C) 19.37(F), 2003, Jan, Tajikistan, TJK 
-7.01(C) 19.38(F), 2001, Dec, Estonia, EST 
-7.0(C) 19.39(F), 2004, Dec, Armenia, ARM 
-7.0(C) 19.4(F), 2010, Dec, Lithuania, LTU 
-7.0(C) 19.4(F), 2009, Mar, Mongolia, MNG 
-6.99(C) 19.42(F), 2001, Mar, Sweden, SWE 
-6.99(C) 19.42(F), 2010, Mar, Finland, FIN 
-6.97(C) 19.45(F), 2010, Jan, Liechtenstein, LIE 
-6.96(C) 19.48(F), 2001, Dec, China, CHN 
-6.94(C) 19.52(F), 2016, Dec, Armenia, ARM 
-6.92(C) 19.54(F), 2000, Feb, Kazakhstan, KAZ 
-6.92(C) 19.55(F), 2007, Jan, Georgia, GEO 
-6.91(C) 19.57(F), 2007, Feb, Belarus, BLR 
-6.89(C) 19.6(F), 2001, Dec, Ukraine, UKR 
-6.89(C) 19.6(F), 2013, Jan, Belarus, BLR 
-6.88(C) 19.62(F), 2010, Dec, Belarus, BLR 
-6.87(C) 19.63(F), 2006, Jan, Slovakia, SVK 
-6.86(C) 19.65(F), 2004, Jan, Estonia, EST 
-6.86(C) 19.66(F), 2015, Dec, Korea. Democratic People's Republic of, PRK 
-6.86(C) 19.66(F), 2000, Mar, Mongolia, MNG 
-6.84(C) 19.69(F), 2007, Jan, China, CHN 
-6.83(C) 19.71(F), 2010, Jan, Poland, POL 
-6.81(C) 19.75(F), 2013, Feb, Liechtenstein, LIE 
-6.79(C) 19.78(F), 2007, Dec, Korea. Democratic People's Republic of, PRK 
-6.78(C) 19.79(F), 2004, Jan, Tajikistan, TJK 
-6.78(C) 19.8(F), 2008, Feb, China, CHN 
-6.76(C) 19.83(F), 2015, Feb, Korea. Democratic People's Republic of, PRK 
-6.75(C) 19.85(F), 2003, Dec, Finland, FIN 
-6.74(C) 19.87(F), 2004, Feb, Kyrgyzstan, KGZ 
-6.74(C) 19.87(F), 2000, Dec, Kazakhstan, KAZ 
-6.73(C) 19.88(F), 2014, Jan, Belarus, BLR 
-6.72(C) 19.9(F), 2006, Apr, Canada, CAN 
-6.72(C) 19.9(F), 2005, Apr, Canada, CAN 
-6.71(C) 19.91(F), 2006, Jan, Poland, POL 
-6.71(C) 19.92(F), 2006, Jun, Greenland, GRL 
-6.71(C) 19.92(F), 2003, Feb, Liechtenstein, LIE 
-6.7(C) 19.95(F), 2005, Feb, China, CHN 
-6.69(C) 19.95(F), 2010, Nov, Finland, FIN 
-6.69(C) 19.95(F), 2014, Dec, China, CHN 
-6.69(C) 19.96(F), 2004, Jan, Lithuania, LTU 
-6.68(C) 19.98(F), 2003, Dec, Kazakhstan, KAZ 
-6.67(C) 19.99(F), 2009, Jan, Norway, NOR 
-6.65(C) 20.03(F), 2002, Dec, China, CHN 
-6.65(C) 20.03(F), 2001, Dec, Latvia, LVA 
-6.65(C) 20.03(F), 2000, Jan, Armenia, ARM 
-6.64(C) 20.04(F), 2013, Feb, Finland, FIN 
-6.64(C) 20.04(F), 2016, Dec, Georgia, GEO 
-6.64(C) 20.04(F), 2014, Jan, Latvia, LVA 
-6.64(C) 20.05(F), 2006, Feb, Kyrgyzstan, KGZ 
-6.58(C) 20.15(F), 2002, Nov, Sweden, SWE 
-6.58(C) 20.16(F), 2011, Dec, China, CHN 
-6.57(C) 20.18(F), 2010, Dec, Tajikistan, TJK 
-6.56(C) 20.19(F), 2003, Dec, Tajikistan, TJK 
-6.56(C) 20.2(F), 2012, Dec, Estonia, EST 
-6.56(C) 20.2(F), 2006, Feb, Lithuania, LTU 
-6.55(C) 20.2(F), 2014, Feb, Uzbekistan, UZB 
-6.55(C) 20.21(F), 2004, Jan, United States, USA 
-6.55(C) 20.21(F), 2006, Dec, Armenia, ARM 
-6.54(C) 20.22(F), 2006, Jan, Norway, NOR 
-6.54(C) 20.23(F), 2014, Jan, China, CHN 
-6.54(C) 20.23(F), 2008, Nov, Mongolia, MNG 
-6.53(C) 20.24(F), 2012, Feb, Romania, ROU 
-6.53(C) 20.24(F), 2007, Feb, Kyrgyzstan, KGZ 
-6.52(C) 20.26(F), 2016, Jan, Lithuania, LTU 
-6.5(C) 20.3(F), 2005, Feb, Armenia, ARM 
-6.5(C) 20.3(F), 2000, Jan, Georgia, GEO 
-6.48(C) 20.33(F), 2011, Jan, Korea. Republic of, KOR 
-6.48(C) 20.34(F), 2014, Jan, Armenia, ARM 
-6.48(C) 20.34(F), 2007, Feb, Lithuania, LTU 
-6.47(C) 20.35(F), 2006, Jan, Moldova, MDA 
-6.46(C) 20.36(F), 2006, Jan, Latvia, LVA 
-6.46(C) 20.37(F), 2003, Feb, Tajikistan, TJK 
-6.4(C) 20.48(F), 2009, Dec, China, CHN 
-6.4(C) 20.49(F), 2004, Jan, Belarus, BLR 
-6.38(C) 20.51(F), 2002, Feb, Tajikistan, TJK 
-6.37(C) 20.54(F), 2004, Jan, Latvia, LVA 
-6.36(C) 20.55(F), 2007, Mar, Mongolia, MNG 
-6.31(C) 20.63(F), 2009, Feb, Korea. Democratic People's Republic of, PRK 
-6.3(C) 20.66(F), 2015, Mar, Mongolia, MNG 
-6.3(C) 20.66(F), 2001, Jan, Armenia, ARM 
-6.29(C) 20.68(F), 2013, Jan, Latvia, LVA 
-6.28(C) 20.7(F), 2001, Feb, Tajikistan, TJK 
-6.28(C) 20.7(F), 2015, Jan, China, CHN 
-6.27(C) 20.71(F), 2008, Apr, Russia, RUS 
-6.25(C) 20.75(F), 2001, Jan, Sweden, SWE 
-6.24(C) 20.76(F), 2005, Feb, Belarus, BLR 
-6.23(C) 20.78(F), 2005, Mar, Sweden, SWE 
-6.23(C) 20.79(F), 2003, Feb, Norway, NOR 
-6.22(C) 20.81(F), 2010, Dec, China, CHN 
-6.22(C) 20.81(F), 2002, Jan, China, CHN 
-6.22(C) 20.81(F), 2006, Mar, Mongolia, MNG 
-6.22(C) 20.81(F), 2002, Feb, Finland, FIN 
-6.21(C) 20.81(F), 2000, Feb, China, CHN 
-6.2(C) 20.83(F), 2001, Dec, Romania, ROU 
-6.18(C) 20.88(F), 2013, Jan, Lithuania, LTU 
-6.16(C) 20.9(F), 2005, Feb, Georgia, GEO 
-6.16(C) 20.91(F), 2003, Feb, Korea. Democratic People's Republic of, PRK 
-6.16(C) 20.92(F), 2009, Jun, Greenland, GRL 
-6.14(C) 20.95(F), 2003, Jan, Latvia, LVA 
-6.14(C) 20.95(F), 2013, Dec, Tajikistan, TJK 
-6.12(C) 20.99(F), 2010, Dec, Liechtenstein, LIE 
-6.11(C) 21.01(F), 2005, Dec, Norway, NOR 
-6.1(C) 21.03(F), 2012, Feb, Slovakia, SVK 
-6.09(C) 21.04(F), 2001, Dec, Lithuania, LTU 
-6.09(C) 21.04(F), 2001, Jun, Greenland, GRL 
-6.09(C) 21.04(F), 2006, Jan, Liechtenstein, LIE 
-6.09(C) 21.04(F), 2002, Nov, Norway, NOR 
-6.05(C) 21.1(F), 2008, Jan, United States, USA 
-6.05(C) 21.1(F), 2016, Dec, Tajikistan, TJK 
-6.04(C) 21.12(F), 2015, Feb, Finland, FIN 
-6.04(C) 21.13(F), 2012, Feb, China, CHN 
-6.04(C) 21.13(F), 2016, Jan, Armenia, ARM 
-6.02(C) 21.17(F), 2007, Jan, Kazakhstan, KAZ 
-6.01(C) 21.19(F), 2010, Feb, Latvia, LVA 
-6.01(C) 21.19(F), 2005, Jan, Georgia, GEO 
-6.0(C) 21.2(F), 2005, Jan, Finland, FIN 
-6.0(C) 21.2(F), 2013, Mar, Estonia, EST 
-6.0(C) 21.2(F), 2013, Aug, Greenland, GRL 
-5.99(C) 21.21(F), 2002, Feb, Norway, NOR 
-5.99(C) 21.22(F), 2000, Jan, Sweden, SWE 
-5.98(C) 21.24(F), 2001, Jan, Norway, NOR 
-5.98(C) 21.24(F), 2009, Jan, United States, USA 
-5.98(C) 21.24(F), 2010, Mar, Norway, NOR 
-5.97(C) 21.25(F), 2001, Jan, Finland, FIN 
-5.97(C) 21.26(F), 2013, Feb, Tajikistan, TJK 
-5.96(C) 21.27(F), 2001, Dec, Tajikistan, TJK 
-5.96(C) 21.27(F), 2012, Feb, Uzbekistan, UZB 
-5.94(C) 21.3(F), 2002, Apr, Russia, RUS 
-5.94(C) 21.31(F), 2004, Jun, Greenland, GRL 
-5.94(C) 21.31(F), 2000, Aug, Greenland, GRL 
-5.94(C) 21.31(F), 2004, Dec, Georgia, GEO 
-5.93(C) 21.33(F), 2010, Jan, Tajikistan, TJK 
-5.92(C) 21.34(F), 2003, Feb, Estonia, EST 
-5.92(C) 21.34(F), 2005, Mar, Norway, NOR 
-5.92(C) 21.34(F), 2002, Feb, Iceland, ISL 
-5.91(C) 21.35(F), 2013, Jan, Estonia, EST 
-5.91(C) 21.36(F), 2014, Jan, Lithuania, LTU 
-5.91(C) 21.36(F), 2001, Dec, Liechtenstein, LIE 
-5.91(C) 21.36(F), 2006, Dec, Kazakhstan, KAZ 
-5.91(C) 21.37(F), 2001, Apr, Russia, RUS 
-5.89(C) 21.39(F), 2014, Dec, Finland, FIN 
-5.87(C) 21.43(F), 2003, Feb, Latvia, LVA 
-5.87(C) 21.43(F), 2003, Dec, Sweden, SWE 
-5.87(C) 21.43(F), 2003, Feb, Romania, ROU 
-5.86(C) 21.46(F), 2009, Jan, Liechtenstein, LIE 
-5.86(C) 21.46(F), 2008, Jan, Finland, FIN 
-5.85(C) 21.47(F), 2003, Feb, Moldova, MDA 
-5.84(C) 21.49(F), 2000, Dec, China, CHN 
-5.83(C) 21.51(F), 2004, Feb, Korea. Democratic People's Republic of, PRK 
-5.83(C) 21.51(F), 2000, Feb, Norway, NOR 
-5.82(C) 21.52(F), 2012, Dec, Belarus, BLR 
-5.82(C) 21.53(F), 2013, Dec, Kazakhstan, KAZ 
-5.82(C) 21.53(F), 2016, Feb, Norway, NOR 
-5.81(C) 21.54(F), 2003, Feb, Lithuania, LTU 
-5.8(C) 21.55(F), 2013, Dec, China, CHN 
-5.79(C) 21.57(F), 2001, Dec, Slovakia, SVK 
-5.79(C) 21.58(F), 2004, Feb, Kazakhstan, KAZ 
-5.78(C) 21.59(F), 2016, Jan, Tajikistan, TJK 
-5.78(C) 21.59(F), 2001, Dec, Moldova, MDA 
-5.78(C) 21.59(F), 2015, Dec, Tajikistan, TJK 
-5.77(C) 21.61(F), 2012, Dec, Latvia, LVA 
-5.77(C) 21.61(F), 2003, Jan, Belarus, BLR 
-5.77(C) 21.61(F), 2013, Jun, Greenland, GRL 
-5.75(C) 21.65(F), 2010, Apr, Russia, RUS 
-5.75(C) 21.65(F), 2010, Jan, United States, USA 
-5.74(C) 21.67(F), 2012, Feb, Austria, AUT 
-5.74(C) 21.68(F), 2003, Dec, China, CHN 
-5.72(C) 21.7(F), 2014, Dec, Sweden, SWE 
-5.72(C) 21.7(F), 2006, Feb, Ukraine, UKR 
-5.72(C) 21.7(F), 2002, Dec, Moldova, MDA 
-5.71(C) 21.72(F), 2005, Dec, Tajikistan, TJK 
-5.71(C) 21.73(F), 2005, Feb, Estonia, EST 
-5.7(C) 21.74(F), 2008, Jan, Azerbaijan, AZE 
-5.67(C) 21.79(F), 2001, Feb, Estonia, EST 
-5.66(C) 21.81(F), 2016, Jan, Georgia, GEO 
-5.66(C) 21.81(F), 2014, Feb, China, CHN 
-5.65(C) 21.83(F), 2000, Feb, Sweden, SWE 
-5.65(C) 21.83(F), 2000, Jun, Greenland, GRL 
