Task A4: Lowest Temperature Year for India
Temperature, Year, Month, Country, Country_Code
16.62(C) 61.92(F), 2012, Jan, India, IND 
Task A4: Highest Temperature for India
Temperature, Year, Month, Country, Country_Code
31.02(C) 87.83(F), 2010, May, India, IND 
