Task A3: Lowest Temperature for United Kingdom for the Range of -20.0-10.0
Temperature, Year, Month, Country, Country_Code
7.24(C) 45.03(F), 2013, Apr, United Kingdom, GBR 
7.26(C) 45.07(F), 2006, Apr, United Kingdom, GBR 
7.29(C) 45.12(F), 2009, Nov, United Kingdom, GBR 
7.33(C) 45.19(F), 2003, Nov, United Kingdom, GBR 
7.55(C) 45.6(F), 2012, Mar, United Kingdom, GBR 
7.56(C) 45.6(F), 2002, Nov, United Kingdom, GBR 
7.58(C) 45.65(F), 2014, Nov, United Kingdom, GBR 
7.64(C) 45.75(F), 2015, Apr, United Kingdom, GBR 
7.77(C) 45.98(F), 2010, Apr, United Kingdom, GBR 
7.84(C) 46.11(F), 2005, Apr, United Kingdom, GBR 
8.05(C) 46.49(F), 2015, Nov, United Kingdom, GBR 
8.07(C) 46.53(F), 2002, Apr, United Kingdom, GBR 
8.29(C) 46.92(F), 2003, Oct, United Kingdom, GBR 
8.38(C) 47.08(F), 2004, Apr, United Kingdom, GBR 
8.43(C) 47.17(F), 2012, Oct, United Kingdom, GBR 
8.49(C) 47.29(F), 2011, Nov, United Kingdom, GBR 
8.63(C) 47.53(F), 2009, Apr, United Kingdom, GBR 
8.7(C) 47.67(F), 2008, Oct, United Kingdom, GBR 
8.78(C) 47.81(F), 2003, Apr, United Kingdom, GBR 
8.81(C) 47.85(F), 2002, Oct, United Kingdom, GBR 
9.11(C) 48.4(F), 2014, Apr, United Kingdom, GBR 
9.25(C) 48.66(F), 2000, Oct, United Kingdom, GBR 
9.32(C) 48.77(F), 2004, Oct, United Kingdom, GBR 
9.57(C) 49.23(F), 2010, Oct, United Kingdom, GBR 
9.62(C) 49.31(F), 2013, May, United Kingdom, GBR 
9.62(C) 49.32(F), 2015, May, United Kingdom, GBR 
9.7(C) 49.46(F), 2010, May, United Kingdom, GBR 
9.73(C) 49.51(F), 2011, Apr, United Kingdom, GBR 
9.77(C) 49.59(F), 2016, Oct, United Kingdom, GBR 
9.8(C) 49.65(F), 2007, Apr, United Kingdom, GBR 
9.93(C) 49.88(F), 2015, Oct, United Kingdom, GBR 
9.94(C) 49.9(F), 2005, May, United Kingdom, GBR 
